Compagnie;Cotation
CROWN CASTLE INTERNATIONAL;190.76
CROWN HOLDINGS INC.;110.22
CRYOLIFE INC.;24.68
CS DISCO INC.;53.40
CTO REALTY GROWTH INC.;53.61
CTS CORP.;34.78
CUBESMART;52.20
CULLEN/FROST BANKERS INC.;114.36
CULP INC.;13.91
CUMMINS INC.;238.78
CURO GROUP HOLDINGS;16.10
CURTISS-WRIGHT CORP.;118.64
CUSHING MLP & INFRA. TOTAL RETURN FUND;27.27
CUSHING NEXTGEN INFRA. INC. FUND;43.90
CUSHMAN & WAKEFIELD PLC;17.80
CUSTOM TRUCK ONE SOURCE INC.;8.10
CUSTOMERS BANCORP INC;39.82
CUSTOMERS BANCORP INC 5.375% SUBORDINAT;28.10
CVR ENERGY INC.;13.18
CVR PARTNERS LP;54.39
CVS HEALTH CORP.;82.77
CYPRESS ENVIRONMENTAL PARTNERS L.P.;1.38
D.R. HORTON INC.;95.38
D/B/A CENTERSPACE;97.26
D/B/A COMPASS DIVERSIFIED HLD.;28.67
D/B/A ROYAL CARIBBEAN CRUISES;81.53
D/B/A SIBANYE-STILLWATER;15.47
D8 HOLDINGS;9.97
DANA INC.;22.97
DANAHER CORP.;318.05
DANAOS CORP.;82.11
DANIMER SCIENTIFIC INC.;18.34
DAQO NEW ENERGY;51.88
DARDEN RESTAURANTS INC.;148.65
DARLING INGREDIENTS INC.;74.53
DATTO HOLDING CORP.;25.67
DAVITA INC.;130.25
DBA SEMPRA;132.24
DBA SEMPRA 5.750% JUNIOR SUBORDINATED N;27.64
DCP MIDSTREAM  LP;26.80
DECKERS OUTDOOR;422.77
DEERE & COMPANY;380.43
DELAWARE ENHANCED GLOB. DIVIDEND;10.46
DELAWARE IVY HIGH INC. OPPORTUNITIES FU;14.08
DELEK LOGISTICS PARTNERS L.P.;41.74
DELEK US HOLDINGS INC.;15.75
DELL TECHNOLOGIES INC. CLASS C;101.33
DELTA AIR LINES INC.;40.88
DELUXE CORP.;39.55
DENBURY INC.;68.38
DESIGNER BRANDS INC. CLASS A;15.19
DESKTOP METAL INC. CLASS A;8.27
DESPEGAR.COM;12.04
DEUTSCHE BANK AG;12.41
DEVON ENERGY CORP.;28.74
DHI GROUP INC.;4.01
DHT HOLDINGS INC.;5.44
DIAGEO PLC;191.09
DIAMONDROCK HOSPITALITY CO.;8.70
DIANA SHIPPING INC.;4.82
DICK S SPORTING GOODS INC;130.23
DIDI GLOBAL INC. ADS EACH FOUR;8.38
DIEBOLD NIXDORF INC.;10.78
DIGITAL MEDIA SOLUTIONS;8.07
DIGITAL REALTY TRUST INC.;158.77
DIGITALBRIDGE GROUP INC.;6.75
DIGITALOCEAN HLD.;56.75
DILLARD S CAPITAL TRUST I;26.45
DILLARD S INC.;196.95
DINE BRANDS GLOBAL INC.;77.76
DINGDONG CAYMAN LTD.;21.66
DISCOVER FINANCIAL SERVICES;130.49
DMY TECHNOLOGY GROUP;9.90
DMY TECHNOLOGY GROUP;9.98
DOLBY LABORATORIES;99.79
DOLE PLC;16.14
DOLLAR GENERAL CORP.;221.19
DOMA HOLDINGS INC.;8.02
DOMINION ENERGY;25.08
DOMINION ENERGY;102.00
DOMINION ENERGY INC.;78.26
DOMINO S PIZZA INC;510.15
DOMTAR CORP.;54.83
DONALDSON CO.;68.00
DONNELLEY FIN. SOLUTIONS;31.75
DOORDASH INC. CLASS A;188.43
DORIAN LPG LTD.;12.70
DOUBLELINE INC. SOLUTIONS FUND;17.75
DOUBLELINE OPPORTUNISTIC CREDIT FUND;19.71
DOUBLELINE YIELD OPPORTUNITIES FUND;19.85
DOUBLEVERIFY HLD.;31.30
DOUGLAS DYNAMICS INC.;37.67
DOUGLAS EMMETT INC.;32.07
DOVER CORP.;174.22
DOVER MOTORSPORTS INC.;2.62
DOW INC.;64.05
DOXIMITY INC. CLASS A;82.53
DPCM CAPITAL INC. CLASS A;9.71
DR. REDDY S LABORATORIES LTD;60.60
DRDGOLD LTD.;9.35
DRIL-QUIP INC.;23.70
DRIVE SHACK INC.;2.61
DT MIDSTREAM INC.;45.24
DTE ENERGY CO.;25.83
DTE ENERGY CO.;51.93
DTE ENERGY CO.;26.35
DTE ENERGY CO.;25.98
DTE ENERGY COMPANY;120.37
DTF TAX-FREE INCOME INC.;14.95
DUCOMMUN INC.;51.85
DUFF & PHELPS UTIL. AND INFRA. FUND;14.48
DUKE ENERGY CORP.;27.17
DUKE ENERGY CORP.;105.51
DUKE ENERGY CORP.;27.17
DUKE REALTY CORP.;49.89
DUN & BRADSTREET HLD.;18.41
DUPONT DE NEMOURS INC.;74.20
DWS MUNICIPAL INCOME TRUST;12.33
DWS STRATEGIC MUNI. INC. TRUST;12.85
DXC TECHNOLOGY CO.;36.80
DYCOM INDUSTRIES INC.;76.30
DYNAGAS LNG PARTNERS LP;2.99
DYNATRACE INC.;66.88
DYNEX CAPITAL INC.;17.63
E.L.F. BEAUTY INC.;30.04
E2OPEN PARENT HLD.;11.72
EAGLE MATERIALS INC;155.45
EAGLE POINT CREDIT CO.;26.70
EAGLE POINT CREDIT CO.;25.65
EAGLE POINT CREDIT CO.;25.70
EAGLE POINT CREDIT CO.;13.80
EAGLE POINT CREDIT CO.;25.45
EAGLE POINT CREDIT CO.;25.51
EAGLE POINT INCOME CO.;17.50
EARTHSTONE ENERGY INC. CLASS A;7.95
EASTERLY GOVERNMENT PROPERTIES;21.33
EASTGROUP PROPERTIES INC.;170.93
EASTMAN CHEMICAL CO.;113.01
EASTMAN KODAK CO.;7.22
EATON CORP.;169.85
EATON VANCE CORP.;11.05
EATON VANCE CORP.;16.43
EATON VANCE ENHANCE EQUITY INC. FUND EA;19.29
EATON VANCE ENHANCE EQUITY INC. FUND II;24.35
EATON VANCE FLOATING RATE INC. TRUST;14.78
EATON VANCE FLOATING-RATE 2022 TARGET T;9.36
EATON VANCE MUNI. INC. 2028 TERM TRUST;23.27
EATON VANCE MUNI. INC. TRUST;14.31
EATON VANCE MUNI. INC. TRUST EATON VANC;23.00
EATON VANCE RISK-MANAGED DIV. EQUITY IN;11.12
EATON VANCE SENIOR FLOATING-RATE FUND;14.28
EATON VANCE SENIOR INC. TRUST;6.86
EATON VANCE SHORT DIV. INC. FUND EATON;13.55
EATON VANCE TAX ADVANTAGED DIVIDEND INC;28.35
EATON VANCE TAX-ADVANTAGE GLOB. DIVIDEN;32.10
EATON VANCE TAX-ADVANTAGED GLOB. DIVIDE;21.86
EATON VANCE TAX-MANAGED BUY-WRITE INC.;16.39
EATON VANCE TAX-MANAGED BUY-WRITE STRAT;12.07
EATON VANCE TAX-MANAGED DIV. EQUITY INC;14.38
EATON VANCE TAX-MANAGED GLOB. DIV. EQUI;10.57
ECOFIN SUSTAINABLE AND SOCIAL IMPACT TE;14.65
ECOLAB INC.;223.47
ECOPETROL S.A. ADS;13.73
ECOVYST INC.;12.39
EDGEWELL PERSONAL CARE CO.;43.23
EDISON INTERNATIONAL;58.02
EDWARDS LIFESCIENCES;116.56
ELANCO ANIMAL HEALTH INC.;32.29
ELANCO ANIMAL HEALTH INC.;50.59
ELASTIC N.V.;158.00
ELDORADO GOLD CORP.;8.48
ELEMENT SOLUTIONS INC.;23.11
ELEVATE CREDIT INC.;3.65
ELI LILLY AND CO.;261.57
ELLINGTON FINANCIAL INC.;18.62
ELLINGTON RESIDENTIAL MORTGAGE REIT;11.37
ELLIOTT OPPORTUNITY II;9.68
EMBOTELLADORA ANDINA S.A.;13.63
EMBOTELLADORA ANDINA S.A.;11.90
EMBRAER S.A.;17.85
EMCOR GROUP INC.;121.70
EMERALD HOLDING INC.;5.00
EMERGENT BIOSOLUTIONS INC.;63.08
EMERSON ELECTRIC CO.;104.18
EMPIRE STATE REALTY TRUST;10.12
EMPLOYERS HOLDINGS INC;40.91
EMPOWERMENT & INCLUSION CAPITAL I;9.77
EMPRESA DISTRIBUIDORA Y COMERCIALIZADOR;5.97
ENABLE MIDSTREAM PARTNERS LP;7.86
ENBRIDGE INC;38.87
ENBRIDGE INC 6.375% FIXED-TO-FLOATING R;26.99
ENCOMPASS HEALTH;76.89
ENDAVA PLC ADS EACH;135.87
ENDEAVOR GROUP HLD.;24.54
ENDEAVOUR SILVER;4.36
ENEL AMERICAS S.A. ADS;6.78
ENEL CHILE S.A. ADS EACH;2.45
ENERGIZER HOLDINGS INC.;38.82
ENERGY TRANSFER LP;9.28
ENERPAC TOOL GROUP;24.70
ENERPLUS CORP.;5.53
ENERSYS;86.77
ENETI INC.;17.97
ENI S.P.A.;24.14
ENLINK MIDSTREAM LLC;5.32
ENNIS INC.;19.40
ENOVA INTERNATIONAL INC.;31.97
ENPRO INDUSTRIES INC;85.42
ENTERGY ARKANSAS LLC FIRST MORTGAGE BON;25.35
ENTERGY CORP.;114.26
ENTERGY LOUISIANA;25.35
ENTERGY MISSISSIPPI LLC FIRST MORTGAGE;25.37
ENTERGY NEW ORLEANS LLC FIRST MORTGAGE;25.38
ENTERGY NEW ORLEANS LLC FIRST MORTGAGE;25.50
ENTERGY TEXAS INC 5.375% SERIES A PREF;27.06
ENTERPRISE PRODUCTS PARTNERS L.P.;22.06
ENTRAVISION COMMUNICATIONS;6.74
ENVESTNET INC;78.93
ENVISTA HOLDINGS;41.57
ENVIVA PARTNERS LP;53.99
ENZO BIOCHEM INC.;3.65
EOG RESOURCES INC.;67.17
EPAM SYSTEMS INC.;611.33
EPR PROPERTIES;50.06
EQT CORP.;17.38
EQUIFAX INC.;262.43
EQUINOR ASA;21.00
EQUITABLE HOLDINGS INC.;31.00
EQUITRANS MIDSTREAM;8.69
EQUITY COMMONWEALTH;25.92
EQUITY LIFESTYLE PROPERTIES;81.85
EQUITY RESIDENTIAL;82.47
EQUUS TOTAL RETURN INC.;2.67
ERO COPPER CORP.;18.53
EROS STX GLOBAL;0.676
ESCO TECHNOLOGIES INC.;89.79
ESSENT GROUP LTD.;46.79
ESSENTIAL PROPERTIES REALTY TRUST;31.16
ESSENTIAL UTILITIES;60.17
ESSENTIAL UTILITIES INC.;48.72
ESSEX PROPERTY TRUST INC.;318.59
ESTEE LAUDER COMPANIES;336.14
ETHAN ALLEN INTERIORS INC.;23.93
EURONAV NV;8.15
EVENTBRITE INC. CLASS A;17.66
EVERCORE INC. CLASS A;137.35
EVEREST RE GROUP;270.71
EVERGY INC.;69.10
EVERI HOLDINGS INC.;23.00
EVERSOURCE ENERGY D/B/A;90.57
EVERTEC INC.;45.99
EVOLENT HEALTH INC CLASS A;24.15
EVOQUA WATER TECHNOLOGIES;38.01
EXECUTIVE NETWORK PARTNERING;9.72
EXPRESS INC.;6.37
EXTERRAN CORP.;3.81
EXTRA SPACE STORAGE INC;182.51
EXXON MOBIL CORP.;54.96
F.N.B. CORP.;11.73
F45 TRAINING HLD.;13.69
FABRINET;97.30
FACTSET RESEARCH SYSTEMS INC.;374.07
FAIR ISAAC CORPROATION;448.49
FANG HOLDINGS LTD.;8.34
FARFETCH LTD.;41.16
FARMLAND PARTNERS INC.;11.96
FASTLY INC. CLASS A;43.22
FB FINANCIAL CORP.;40.76
FEDERAL AGRICULTURAL MORTGAGE;92.45
FEDERAL AGRICULTURAL MORTGAGE;96.86
FEDERAL REALTY INVESTMENT TRUST;118.60
FEDERAL SIGNAL CORP.;39.97
FEDERATED HERMES INC.;34.01
FEDERATED HERMES PREMIER MUNI. INC. FUN;15.81
FEDEX CORP.;268.13
FERGUSON PLC;140.32
FERRARI N.V.;215.28
FERRO CORP.;20.58
FGL HOLDINGS WARRANTS;2.50
FIDELITY NATIONAL INFORMATION SERVICES;128.10
FIDUCIARY/CLAYMORE ENERGY INFRA. FUND;10.58
FIGS INC. CLASS A;35.58
FINANCE OF AMERICA COMPANIES;5.38
FINVOLUTION GROUP ADS;5.89
FIRST AMERICAN CORP.;69.85
FIRST BANCORP. NEW;12.65
FIRST COMMONWEALTH FINANCIAL;13.45
FIRST EAGLE ALTERNATIVE CAPITAL BDC;26.25
FIRST EAGLE ALTERNATIVE CAPITAL BDC;25.46
FIRST HIGH-SCHOOL EDUCATION GROUP CO.;3.73
FIRST HORIZON CORP.;16.39
FIRST INDUSTRIAL REALTY TRUST;54.51
FIRST MAJESTIC SILVER;12.41
FIRST REPUBLIC BANK;198.65
FIRST TRUST DYNAMIC EUROPE EQUITY INC.;13.52
FIRST TRUST ENERGY INFRA. FUND;13.06
FIRST TRUST ENHANCED EQUITY INC. FUND;21.16
FIRST TRUST HIGH INC. LONG SHORT FUND;15.91
FIRST TRUST HIGH YIELD OPPORTUNITIES 20;20.75
FIRST TRUST INTERMEDIATE DURATION PREF;25.90
FIRST TRUST MLP AND ENERGY INC. FUND;7.20
FIRST TRUST MOTGAGE INC. FUND;13.77
FIRST TRUST NEW OPPORTUNITIES MLP & ENE;5.60
FIRST TRUST SENIOR FLOATING RATE 2022 T;9.55
FIRST TRUST SENIOR FLOATING RATE INC. F;12.48
FIRST TRUST SPECIALTY FINANCE AND FIN.;4.08
FIRST TRUST/ABERDEEN EMERGING OPPORTUNI;14.37
FIRST TRUST/ABERDEEN GLOB. OPPORTUNITY;10.17
FIRSTENERGY CORP.;38.76
FISKER INC. CLASS A;13.84
FIVE POINT HLD.;7.90
FIVERR INTERNATIONAL;176.35
FLAGSTAR BANCORP INC.;49.06
FLAHERTY & CRUMRINE DYNAMIC PREF AND IN;29.26
FLAHERTY & CRUMRINE PREF AND INC. FUND;16.31
FLAHERTY & CRUMRINE PREF AND INC. OPPOR;12.98
FLAHERTY & CRUMRINE PREF AND INC. SECUR;23.01
FLAHERTY & CRUMRINE TOTAL RETURN FUND I;24.31
FLEETCOR TECHNOLOGIES INC.;257.88
FLEX LNG;15.49
FLOOR & DECOR HLD.;117.87
FLOTEK INDUSTRIES INC.;1.35
FLOWERS FOODS INC.;23.83
FLOWSERVE CORP.;38.89
FLUOR CORP.;16.38
FMC CORP.;93.29
FNF GROUP OF FIDELITY NATIONAL FIN.;48.58
FOMENTO ECONOMICO MEXICANO S.A.B. DE C.;84.94
FOOT LOCKER INC.;57.00
FORD MOTOR COMPANY;12.93
FORESTAR GROUP INC;20.47
FORTIS INC.;45.51
FORTIVE CORP.;73.61
FORTRESS TRANSPORTATION AND INFRA. INVE;27.80
FORTUNA SILVER MINES INC;4.20
FORTUNE BRANDS HOME & SECURITY;100.27
FORUM ENERGY TECHNOLOGIES INC.;19.04
FOUR CORNERS PROPERTY TRUST;27.21
FOUR SEASONS EDUCATION CAYMAN;0.650
FRANCO-NEVADA CORP.;142.98
FRANK S INTERNATIONAL N.V.;2.87
FRANKLIN COVEY CO.;40.45
FRANKLIN RESOURCES INC.;32.34
FRANKLIN UNIVERSAL TRUST;8.54
FREEPORT-MCMORAN INC.;34.70
FRESENIUS MEDICAL CARE AG;39.60
FRESH DEL MONTE PRODUCE INC.;32.08
FREYR BATTERY;8.51
FRONTLINE;7.61
FS KKR CAPITAL CORP.;22.86
FTI CONSULTING INC.;142.11
FUBOTV INC.;26.82
FULL TRUCK ALLIANCE CO.;14.30
FUTUREFUEL CORP.;8.17
G SQUARED ASCEND I;9.70
G SQUARED ASCEND II;9.66
GABELLI DIVIDEND & INC. TRUST;26.77
GABELLI EQUITY TRUST INC. THE;6.79
GABELLI GLOB. SMALL AND MID CAP VALUE T;15.95
GABELLI MULTI-MEDIA TRUST;9.59
GABELLI UTILITY TRUST THE;8.14
GAMCO INVESTORS INC.;27.99
GAMCO NATURAL RESOURCES GOLD & INC. TRU;5.27
GAMESTOP CORP.;203.50
GANNETT CO. INC.;6.24
GAOTU TECHEDU INC. ADS;2.55
GAP INC. THE;26.10
GARTNER INC.;306.03
GASLOG PARTNERS LP;4.10
GATES INDUSTRIAL;16.45
GATOS SILVER INC.;13.74
GATX CORP.;88.72
GCP APPLIED TECHNOLOGIES INC.;23.94
GDL FUND THE;9.03
GENCO SHIPPING & TRADING;19.50
GENERAC HOLDLINGS INC.;424.91
GENERAL AMERICAN INVESTORS;44.51
GENERAL DYNAMICS;198.56
GENERAL ELECTRIC CO.;103.32
GENERAL MILLS INC.;57.58
GENERAL MOTORS CO.;48.65
GENESCO INC.;61.63
GENESIS ENERGY L.P.;8.15
GENIE ENERGY;6.40
GENIUS SPORTS LTD.;18.61
GENPACT LTD.;51.28
GENUINE PARTS CO.;123.44
GENWORTH FINANCIAL INC;3.63
GEO GROUP INC THE REIT;7.66
GEOPARK LTD;10.86
GEORGIA POWER CO.;26.22
GERDAU S.A.;5.40
GETTY REALTY CORP.;30.83
GFL ENVIRONMENTAL;34.74
GFL ENVIRONMENTAL;81.01
GIGCAPITAL INC. WARRANTS;0.920
GILDAN ACTIVEWEAR;38.55
GLATFELTER CORP.;15.73
GLAUKOS CORP.;52.34
GLAXOSMITHKLINE PLC;40.99
GLOB. PARTNERS LP GLOB. PARTNERS LP;19.95
GLOB. SHIP LEASE;26.00
GLOB. SHIP LEASE INC NEW CLASS A;19.75
GLOBAL BLUE GROUP HOLDING AG;7.04
GLOBAL CORD BLOOD;4.65
GLOBAL INDUSTRIAL CO.;37.66
GLOBAL MEDICAL REIT INC.;15.24
GLOBAL NET LEASE INC.;17.05
GLOBAL PAYMENTS INC.;162.56
GLOBANT S.A.;308.24
GLOBE LIFE INC.;96.24
GLOBUS MEDICAL INC. CLASS A;78.33
GMS INC.;49.54
GODADDY INC. CLASS A;73.33
GOL LINHAS AEREAS INTELIGENTES S.A. SPO;7.72
GOLD FIELDS LTD.;9.16
GOLDMAN SACHS BDC INC.;19.10
GOLDMAN SACHS GROUP INC. THE;414.50
GOLDMAN SACHS GROUP SECURITIES STRATS T;21.25
GOLDMAN SACHS MLP ENERGY RENAISSANCE FU;10.55
GORMAN-RUPP CO.;34.86
GP STRATEGIES CORP.;20.70
GRACO INC.;77.49
GRAFTECH INTERNATIONAL;10.86
GRAHAM CORP.;12.31
GRAHAM HOLDINGS CO.;610.90
GRANITE CONSTRUCTION INC.;40.52
GRANITE POINT MORTGAGE TRUST;13.59
GRANITE REAL ESTATE;71.04
GRAPHIC PACKAGING HOLDING CO.;20.25
GRAY TELEVISION INC.;21.95
GRAY TELEVISION INC. CLASS A;20.51
GREAT AJAX;26.25
GREAT AJAX CORP.;13.47
GREAT WESTERN BANCORP INC.;31.16
GREEN DOT CORP.;47.32
GREENBRIER COMPANIES INC. THE;44.01
GREENHILL & CO. INC.;15.25
GREENTREE HOSPITALITY GROUP;8.82
GREIF INC. CLASS A;62.15
GREIF INC. CORP.;62.32
GRIFFON CORP.;23.56
GROUP 1 AUTOMOTIVE INC.;162.00
GRUPO AEROPORTUARIO DEL PACIFICO S.A. B;109.64
GRUPO AEROPORTUARIO DEL SURESTE S.A. DE;175.40
GRUPO AVAL ACCIONES Y VALORES S.A. ADR;5.84
GRUPO SUPERVIELLE S.A. ADS;2.25
GRUPO TELEVISA S.A.;12.42
GUESS? INC.;22.91
GUGGENHEIM CREDIT ALLOCATION FUND;21.67
GUGGENHEIM ENHANCED EQUITY INC. FUND;9.29
GUGGENHEIM STRATEGIC OPPORTUNITIES FUND;21.30
GUGGENHEIM TAXABLE MUNI. BOND & INVESTM;24.62
GUIDEWIRE SOFTWARE INC.;115.69
GUILD HOLDINGS CO.;14.67
GULFPORT ENERGY;64.81
GXO LOGISTICS INC.;83.13
H&R BLOCK INC.;25.16
H. B. FULLER COMPANY;66.80
HAEMONETICS CORP.;58.83
HALLIBURTON COMPANY;19.90
HAMILTON BEACH BRANDS HOLDING CO.;17.09
HANESBRANDS INC.;19.01
HANGER INC.;22.40
HANNON ARMSTRONG SUSTAINABLE INFRA. CAP;58.35
HANOVER INSURANCE GROUP INC;139.43
HARLEY-DAVIDSON INC.;39.46
HARMONY GOLD MINING CO.;3.63
HARSCO CORP.;18.66
HARTFORD FIN. GROUP;67.72
HARTFORD FIN. GROUP;26.40
HAVERTY FURNITURE COMPANIES;35.73
HAVERTY FURNITURE COMPANIES;35.72
HAWAIIAN ELECTRIC INDUSTRIES;43.38
HAYWARD HOLDINGS INC.;21.23
HC2 HOLDINGS INC.;3.57
HCA HEALTHCARE INC.;250.95
HCI GROUP INC.;105.02
HDFC BANK LTD.;77.75
HEALTHCARE REALTY TRUST INC.;29.72
HEALTHCARE TRUST OF AMERICA;29.33
HEALTHPEAK PROPERTIES INC.;35.24
HECLA MINING COMPANY;5.82
HEICO CORP.;115.91
HEICO CORP.;126.46
HELIX ENERGY SOLUTIONS GROUP;3.76
HELMERICH & PAYNE INC.;25.69
HERBALIFE NUTRITION;50.91
HERC HOLDINGS INC.;126.55
HERCULES CAPITAL;26.75
HERCULES CAPITAL INC.;16.86
HERITAGE INSURANCE HLD.;6.52
HERSHA HOSPITALITY TRUST CLASS A;9.07
HESS CORP.;68.16
HESS MIDSTREAM LP CLASS A SHARE;25.13
HEWLETT PACKARD ENTERPRISE CO.;15.22
HEXCEL CORP.;56.70
HIGH INCOME SECURITIES FUND;9.72
HIGHLAND GLOB. ALLOCATION FUND;9.73
HIGHLAND INCOME FUND;10.94
HIGHLAND TRANSCEND PARTNERS I;9.67
HIGHWOODS PROPERTIES INC.;45.05
HILL INTERNATIONAL INC.;2.43
HILL-ROM HOLDINGS INC;131.30
HILLENBRAND INC;44.53
HILLTOP HOLDINGS INC.;33.76
HILTON GRAND VACATIONS INC.;41.03
HILTON WORLDWIDE HLD.;125.29
HIMS & HERS HEALTH;7.61
HIPPO HOLDINGS INC.;4.32
HNI CORP.;38.08
HOEGH LNG PARTNERS LP;4.30
HOLLEY INC.;12.27
HOLLY ENERGY PARTNERS L.P.;18.31
HOLLYFRONTIER CORP.;30.53
HOME DEPOT INC. THE;321.63
HONDA MOTOR CO.;29.56
HORACE MANN EDUCATORS;41.50
HORIZON GLOBAL CORP.;7.73
HORIZON TECHNOLOGY FINANCE;25.90
HORMEL FOODS CORP.;45.09
HOULIHAN LOKEY INC. CLASS A;89.86
HOVNANIAN ENTERPRISES;100.54
HOWARD HUGHES CORP.;89.90
HOWMET AEROSPACE INC.;32.53
HP INC.;29.15
HPX;9.77
HSBC HOLDINGS PLC.;27.13
HUANENG POWER INTL;20.12
HUBBELL INC;206.35
HUBSPOT INC.;680.00
HUDBAY MINERALS INC.;5.91
HUDSON PACIFIC PROPERTIES INC.;25.91
HUMANA INC.;405.07
HUNTINGTON INGALLS INDUSTRIES;203.20
HUNTSMAN CORP.;25.58
HUYA INC. ADS;10.66
HYATT HOTELS CORP.;73.64
HYLIION HOLDINGS;8.88
HYSTER-YALE MATERIALS HANDLING;58.04
IAA INC.;53.01
IAMGOLD CORP.;2.32
IBERE PHARMACEUTICALS CLASS A;9.70
ICICI BANK LTD.;18.84
ICL GROUP;6.89
IDACORP INC.;105.08
IDEX CORP.;225.28
IDT CORP.;43.20
IHS MARKIT LTD.;118.83
IHUMAN INC. ADS;6.95
ILLINOIS TOOL WORKS INC.;228.85
IMAX CORP.;15.50
INDEPENDENCE CONTRACT DRILLING;3.15
INDEPENDENCE HOLDING CO.;42.50
INDEPENDENCE REALTY TRUST INC.;19.98
INDUSTRIAS BACHOCO S.A.B. DE C.V.;42.94
INFOSYS LTD.;23.75
ING GROUP N.V.;13.70
INGERSOLL RAND INC.;51.38
INGEVITY CORP.;80.12
INGREDION INC.;87.53
INNOVATIVE INDUSTRIAL PROPERTIES;236.40
INSIGHT SELECT INCOME FUND;21.09
INSPERITY INC.;108.36
INSPIRE MEDICAL SYSTEMS INC.;214.79
INSTALLED BUILDING PRODUCTS;123.84
INSTEEL INDUSTRIES INC.;38.45
INSTRUCTURE HOLDINGS INC.;22.59
INTEGER HOLDINGS;94.70
INTELLIGENT SYSTEMS;37.22
INTERCONTINENTAL EXCHANGE INC.;117.65
INTERCONTINENTAL HOTELS GROUP ADS EACH;62.61
INTERCORP FIN.;21.43
INTERNATIONA FLAVORS & FRAGRANCES;151.03
INTERNATIONAL GAME TECHNOLOGY;20.39
INTERNATIONAL PAPER CO.;59.07
INTERNATIONAL SEAWAYS INC.;16.70
INTERPRIVATE III FIN. PARTNERS;9.84
INTERPUBLIC GROUP OF COMPANIES;36.47
INTL. BUSINESS MACHINES;139.38
INTL. FLAVORS & FRAGRANCES;50.53
INTREPID POTASH INC;30.16
INVACARE CORP.;7.87
INVESCO BOND FUND;20.31
INVESCO CALIFORNIA VALUE MUNI. INC. TRU;14.06
INVESCO CREDIT OPPORTUNITIES FUND;11.72
INVESCO HIGH INC. 2023 TARGET TERM FUND;9.78
INVESCO HIGH INC. 2024 TARGET TERM FUND;9.73
INVESCO HIGH INCOME TRUST II;14.84
INVESCO LTD;25.08
INVESCO MORTGAGE CAPITAL INC;3.14
INVESCO MUNI. INC. OPPORTUNITIES TRUST;8.34
INVESCO MUNI. OPPORTUNITY TRUST;13.98
INVESCO MUNICIPAL TRUST;14.04
INVESCO PENNSYLVANIA VALUE MUNI. INC. T;13.53
INVESCO QUALITY MUNI. INC. TRUST;13.67
INVESCO SENIOR INCOME TRUST;4.37
INVESCO TRUST FOR INVESTMENT GRADE MUNI;14.17
INVESCO TRUST FOR INVESTMENT GRADE NEW;13.77
INVESCO VALUE MUNI. INC. TRUST;17.04
INVITAE CORP.;27.49
INVITATION HOMES INC.;40.30
ION GEOPHYSICAL;1.17
IQVIA HOLDINGS INC.;257.21
IRON MOUNTAIN INC.;45.83
IRONSOURCE;9.80
IRSA INVERSIONES Y;4.31
ISTAR INC.;25.55
ITAU CORPBANCA ADS EACH;4.11
ITAU UNIBANCO BANCO HOLDING SA ADS EACH;5.78
ITT INC.;97.36
J. ALEXANDER S HLD.;13.90
J. JILL INC.;20.58
J.M. SMUCKER CO.;123.53
JABIL INC.;60.42
JACOBS ENGINEERING GROUP INC.;134.12
JAMES HARDIE INDUSTRIES PLC ADS IRELAND;38.38
JANUS HENDERSON GROUP PLC;43.31
JANUS INTERNATIONAL GROUP INC.;14.98
JAPAN SMALLER CAPITALIZATION FUND INC;9.04
JBG SMITH PROPERTIES;29.66
JEFFERIES FINANCIAL GROUP INC.;36.86
JELD-WEN HOLDING INC.;28.42
JIANPU TECHNOLOGY INC. ADS;1.60
JINKOSOLAR HOLDING CO.;43.76
JMP GROUP LLC;7.14
JOBY AVIATION INC.;11.15
JOHN BEAN TECHNOLOGIES;139.03
JOHN HANCOCK FIN. OPPORTUNITIES FUND;43.71
JOHN HANCOCK HEDGED EQUITY & INC. FUND;13.32
JOHN HANCOCK INC. SECURITIES TRUST;15.90
JOHN HANCOCK INVESTORS TRUST;18.95
JOHN HANCOCK PFD INC. FUND II PFD INC.;22.39
JOHN HANCOCK PREF INC. FUND III PREF IN;19.27
JOHN HANCOCK PREF INCOME FUND;21.74
JOHN HANCOCK PREMIUM DIVIDEND FUND;16.83
JOHN HANCOCK TAX ADVANTAGED DIVIDEND IN;24.58
JOHN HANCOCK TAX-ADVANTAGED GLOB. SHARE;6.77
JOHN WILEY & SONS INC.;57.59
JOHN WILEY & SONS INC.;57.90
JOHNSON & JOHNSON;173.71
JOHNSON CONTROLS INTL. PLC ORD.;74.90
JONES LANG LASALLE INC.;237.76
JP MORGAN CHASE & CO.;162.14
JUMIA TECHNOLOGIES AG ADS;19.88
JUNIPER NETWORKS INC.;29.43
JUPAI HOLDINGS LTD.;1.27
KADANT INC;206.54
KAMAN CORP.;39.57
KANSAS CITY SOUTHERN;293.20
KANSAS CITY SOUTHERN PREF;35.78
KAR AUCTION SERVICES INC;16.90
KAYNE ANDERSON NEXTGEN ENERGY & INFRA.;7.18
KB FINANCIAL GROUP INC;45.87
KB HOME;42.63
KBR INC.;38.71
KE HOLDINGS INC ADS EACH;19.92
KELLOGG COMPANY;63.49
KEMPER CORP.;68.53
KENNAMETAL INC.;36.75
KENNEDY-WILSON HLD.;21.25
KENON HOLDINGS;38.31
KEYCORP;20.65
KEYSIGHT TECHNOLOGIES INC.;174.70
