Compagnie;Cotation
APOLLO COMMERCIAL REAL ESTATE FINANCE I;15.22
APOLLO GLOB. MANAGEMENT;58.11
APOLLO SENIOR FLOATING RATE FUND;15.86
APOLLO STRATEGIC GROWTH CAPITAL CLASS A;9.74
APOLLO STRATEGIC GROWTH CAPITAL II CLAS;9.68
APOLLO TACTICAL INC. FUND;15.59
APPLE HOSPITALITY REIT INC.;14.65
APPLIED INDUSTRIAL TECHNOLOGIES;87.01
APTARGROUP INC.;133.60
APTIV PLC;155.06
ARAMARK;34.30
ARBOR REALTY TRUST;18.07
ARC DOCUMENT SOLUTIONS INC.;2.73
ARCELOR MITTAL NY REGISTRY SHARES NEW;33.77
ARCELORMITTAL 5.50% MANDATORILY CONVERT;80.74
ARCH RESOURCES INC. CLASS A;74.35
ARCHER-DANIELS-MIDLAND CO.;59.85
ARCHROCK INC.;7.69
ARCONIC CORP.;34.95
ARCOS DORADOS HLD.;5.80
ARCOSA INC.;51.31
ARCUS BIOSCIENCES INC.;29.34
ARDAGH GROUP S.A.;26.20
ARDAGH METAL PACKAGING S.A.;11.25
ARDMORE SHIPPING;3.30
ARES COMMERCIAL REAL ESTATE;15.35
ARES MANAGEMENT;73.86
ARGAN INC.;44.82
ARGO GROUP INTERNATIONAL HLD.;53.44
ARGO GROUP INTERNATIONAL HLD.;26.19
ARISTA NETWORKS INC.;369.58
ARLINGTON ASSET INVESTMENT CORP 6.000%;24.95
ARLINGTON ASSET INVESTMENT CORP 6.750%;25.70
ARLINGTON ASSET INVESTMENT CORP CLASS A;3.76
ARLO TECHNOLOGIES INC.;6.03
ARMADA HOFFLER PROPERTIES INC.;12.99
ARMOUR RESIDENTIAL REIT INC.;10.83
ARMSTRONG FLOORING INC.;3.69
ARMSTRONG WORLD INDUSTRIES INC;104.58
ARROW ELECTRONICS INC.;120.39
ARTHUR J. GALLAGHER & CO.;142.68
ARTISAN PARTNERS ASSET MANAGEMENT;50.48
ASA  GOLD AND PRECIOUS METALS;20.35
ASANA INC. CLASS A;74.69
ASBURY AUTOMOTIVE GROUP INC;186.42
ASE TECHNOLOGY HOLDING CO.;8.89
ASGN INC.;110.10
ASHFORD HOSPITALITY TRUST INC;14.48
ASHLAND GLOBAL HLD.;85.61
ASPEN AEROGELS INC.;42.36
ASSETMARK FINANCIAL HLD.;26.32
ASSOCIATED BANC-CORP;20.79
ASSOCIATED CAPITAL GROUP INC.;36.86
ASSURANT;27.20
ASSURANT INC.;168.10
ASSURED GUARANTY;50.23
AT&T;27.18
AT&T;26.30
AT&T INC.;27.27
ATENTO S.A.;23.50
ATHENE HOLDING;64.92
ATI PHYSICAL THERAPY;4.11
ATKORE INC.;88.36
ATLAS CORP.;14.17
ATLAS CREST INVESTMENT;9.67
ATLAS CREST INVESTMENT;9.98
ATMOS ENERGY CORP.;97.23
ATOTECH LTD.;23.48
AUDACY;3.31
AUTOHOME INC. ADS;39.85
AUTOLIV INC.;88.98
AUTONATION INC.;110.73
AUTOZONE INC.;1602.04
AVALARA INC.;176.58
AVALONBAY COMMUNITIES INC.;223.41
AVANGRID INC.;53.97
AVANOS MEDICAL INC.;32.92
AVANTOR INC.;39.30
AVAYA HOLDINGS CORP.;20.60
AVERY DENNISON CORP.;224.43
AVIENT CORP.;50.39
AVISTA CORP.;41.19
AXALTA COATING SYSTEMS;31.10
AXIS CAPITAL HOLDINGS;53.02
AXOS FINANCIAL INC.;48.58
AZUL S.A. ADS EACH;22.26
AZURE POWER GLOBAL;19.00
AZZ INC.;52.38
B&G FOODS INC. B&G FOODS INC.;29.10
B. RILEY PRINCIPAL MERGER;1.75
BABCOCK & WILCOX ENTERPRISES;7.68
BABCOCK & WILCOX ENTERPRISES;25.98
BADGER METER INC.;104.67
BAIN CAPITAL SPECIALTY FINANCE;15.02
BAKER HUGHES CO.;22.19
BALL CORP.;94.46
BALLY S CORP.;50.69
BANC OF CALIFORNIA INC.;17.79
BANCO BBVA ARGENTINA S.A. ADS;3.88
BANCO BILBAO VIZCAYA ARGENTARIA S.A.;6.58
BANCO BRADESCO SA ADS;4.41
BANCO BRADESCO SA ADS EACH;3.83
BANCO DE CHILE BANCO DE CHILE ADS;18.62
BANCO LATINOAMERICANO DE COMERCIO EXTER;16.63
BANCO MACRO S.A.  ADR REPRESENTING TEN;17.14
BANCO SANTANDER - CHILE ADS;20.78
BANCO SANTANDER BRASIL SA ADS;7.88
BANCO SANTANDER MEXICO S.A. INSTITUCION;5.82
BANCO SANTANDER S.A. SPONSORED ADR SPAI;3.74
BANCOLOMBIA S.A.;32.40
BANCORPSOUTH BANK;28.57
BANK NOVA SCOTIA HALIFAX PFD 3;63.55
BANK OF AMERICA;42.30
BANK OF HAWAII CORP.;84.35
BANK OF MONTREAL;101.88
BANK OF N.T. BUTTERFIELD & SON;33.31
BANKUNITED INC.;41.87
BARCLAYS PLC;10.24
BARINGS BDC INC.;10.91
BARINGS CORP.;15.21
BARINGS GLOB. SHORT DURATION HIGH YIELD;16.92
BARINGS PARTICIPATION INVESTORS;14.04
BARNES & NOBLE EDUCATION INC;7.91
BARNES GROUP INC.;47.81
BARRICK GOLD CORP.;19.84
BATH & BODY WORKS INC.;66.27
BAUSCH HEALTH COMPANIES INC.;28.50
BAXTER INTERNATIONAL INC.;73.86
BCE INC.;51.21
BEAZER HOMES USA INC.;18.39
BECTON DICKINSON AND CO.;54.12
BECTON DICKINSON AND CO.;247.91
BELDEN INC;55.12
BELLRING BRANDS INC. CLASS A;32.88
BENCHMARK ELECTRONICS INC.;25.89
BERKSHIRE HATHAWAY INC. NEW;286.52
BERKSHIRE HILLS BANCORP INC.;25.06
BERRY GLOBAL GROUP INC.;67.51
BEST BUY CO. INC.;119.58
BEST INC. ADS;1.06
BGSF INC.;13.06
BHP GROUP LTD.;64.54
BHP GROUP PLCSPONSORED ADR;61.33
BIG LOTS INC.;54.71
BIGLARI HLD.;176.02
BIGLARI HLD.;884.90
BILL.COM HOLDINGS INC.;218.25
BIO-RAD LABORATORIES;795.95
BIO-RAD LABORATORIES;762.80
BIOHAVEN PHARMACEUTICAL HOLDING CO.;126.00
BIT MINING LTD.;8.03
BJ S WHOLESALE CLUB HLD.;55.58
BLACK HILLS CORP.;70.40
BLACK KNIGHT INC.;75.27
BLACK STONE MINERALS L.P.;9.89
BLACKBERRY LTD.;10.72
BLACKROCK 2022 GLOB. INC. OPPORTUNITY T;6.66
BLACKROCK CALIFORNIA MUNI. INC. TRUST;15.00
BLACKROCK CAPITAL ALLOCATION TRUST;21.95
BLACKROCK CORE BOND TRUST BLACKROCK COR;16.15
BLACKROCK CREDIT ALLOCATION INC. TRUST;15.16
BLACKROCK ENERGY AND RESOURCES TRUST;8.73
BLACKROCK ENHANCED EQUITY DIVIDEND TRUS;10.17
BLACKROCK ENHANCED GLOB. DIVIDEND TRUST;12.53
BLACKROCK ENHANCED INTL. DIVIDEND TRUST;6.32
BLACKROCK FLOATING RATE INC. STRATEGIES;13.26
BLACKROCK FLOATING RATE INC. TRUST;13.00
BLACKROCK HEALTH SCIENCES TRUST;48.52
BLACKROCK HEALTH SCIENCES TRUST II;28.27
BLACKROCK INC.;935.94
BLACKROCK INC. TRUST;6.33
BLACKROCK INNOVATION AND GROWTH TRUST;18.97
BLACKROCK INVESTMENT QUALITY MUNI. TRUS;18.40
BLACKROCK LONG-TERM MUNI. ADVANTAGE TRU;14.20
BLACKROCK LTD.;17.09
BLACKROCK MULTI-SECTOR INC. TRUST;18.45
BLACKROCK MUNI INTERMEDIATE DURATION FU;15.66
BLACKROCK MUNI. 2030 TARGET TERM TRUST;26.28
BLACKROCK MUNI. INC. QUALITY TRUST;16.17
BLACKROCK MUNI. INC. TRUST;15.63
BLACKROCK MUNI. INC. TRUST II;16.04
BLACKROCK MUNIASSETS FUND INC;16.06
BLACKROCK MUNIHLD.;14.44
BLACKROCK MUNIHLD.;14.96
BLACKROCK MUNIVEST FUND II;16.55
BLACKROCK MUNIYIELD NEW JERSEY FUND INC;15.90
BLACKROCK MUNIYIELD PENNSYLVANIA QUALIT;16.01
BLACKROCK MUNIYIELD QUALITY FUND II;14.65
BLACKROCK MUNIYIELD QUALITY FUND III IN;15.15
BLACKROCK NEW YORK MUNI. INC. TRUST;15.28
BLACKROCK RESOURCES;9.01
BLACKROCK SCIENCE AND TECHNOLOGY TRUST;53.90
BLACKROCK SCIENCE AND TECHNOLOGY TRUST;40.26
BLACKROCK TAXABLE MUNI. BOND TRUST;26.16
BLACKROCK UTIL. INFRA. & POWER OPPORTUN;26.28
BLACKROCK VIRGINIA MUNI. BOND TRUST;18.69
BLACKSTONE INC.;121.17
BLACKSTONE LONG SHORT CREDIT INC. FUND;14.80
BLACKSTONE MORTGAGE TRUST INC.;32.49
BLACKSTONE SENIOR FLOATING RATE TERM FU;16.18
BLACKSTONE STRATEGIC CREDIT FUND;13.82
BLEND LABS INC. CLASS A;16.13
BLOOM ENERGY CORP.;21.10
BLUE APRON HLD.;4.04
BLUE OWL CAPITAL INC. CLASS A;13.46
BLUEGREEN VACATIONS HOLDING;21.24
BLUELINX HOLDINGS INC.;61.37
BNY MELLON HIGH YIELD STRATEGIES FUND;3.35
BNY MELLON STRATEGIC MUNI.S;9.45
BOEING COMPANY THE;218.60
BOISE CASCADE L.L.C.;56.66
BONANZA CREEK ENERGY INC.;36.74
BOOT BARN HOLDINGS INC.;85.92
BOOZ ALLEN HAMILTON HOLDING;81.06
BOQII HOLDING LTD.;2.80
BORGWARNER INC.;42.54
BORR DRILLING LTD.;0.680
BOSTON BEER CO.;588.04
BOSTON PROPERTIES INC.;112.52
BOSTON SCIENTIFIC;44.72
BOX INC. CLASS A;25.21
BOYD GAMING CORP.;61.65
BP MIDSTREAM PARTNERS LP;13.14
BP P.L.C.;24.45
BP PRUDHOE BAY ROYALTY TRUST;3.03
BRADY CORP.;52.33
BRAEMAR HOTELS & RESORTS INC.;5.03
BRANDYWINE REALTY TRUST;13.95
BRANDYWINEGLOB. GLOB. INC. OPPORTUNITIE;12.47
BRASILAGRO BRAZILIAN AGRIC REAL ESTATE;5.15
BRASKEM SA ADR;23.54
BRF S.A.;4.47
BRIDGE INVESTMENT GROUP HLD.;19.28
BRIGHAM MINERALS INC. CLASS A;18.26
BRIGHT HEALTH GROUP INC.;10.10
BRIGHT HORIZONS FAMILY SOLUTIONS;144.48
BRIGHT SCHOLAR EDUCATION HLD.;3.40
BRIGHTSPHERE INVESTMENT GROUP;25.30
BRIGHTSPHERE INVESTMENT GROUP;27.18
BRIGHTSPIRE CAPITAL;9.87
BRIGHTVIEW HOLDINGS INC.;14.83
BRINKER INTERNATIONAL INC.;53.52
BRINKS COMPANY THE;76.93
BRISTOL-MYERS SQUIBB CO.;67.18
BRISTOL-MYERS SQUIBB CO.;0.200
BRISTOW GROUP INC.;31.57
BRITISH AMERICAN TOBACCO  INDUSTRIES P.;36.92
BRIXMOR PROPERTY GROUP INC.;22.89
BROADMARK REALTY CAPITAL INC.;10.61
BROADRIDGE FIN. SOLUTIONS;169.59
BROADSTONE NET LEASE INC.;26.75
BROOKDALE SENIOR LIVING INC.;6.59
BROOKFIELD ASSET MANAGEMENT;56.43
BROOKFIELD ASSET MANAGEMENT REINSURANCE;60.96
BROOKFIELD BRP HLD.;25.07
BROOKFIELD BUSINESS PARTNERS L.P.;43.22
BROOKFIELD DTLA;14.02
BROOKFIELD FINANCE;25.22
BROOKFIELD FINANCE;25.40
BROOKFIELD INFRA. PARTNERS LP;56.15
BROOKFIELD INFRA. PARTNERS LP CLASS A S;63.03
BROOKFIELD INFRASTRUCTURE;26.04
BROOKFIELD REAL ASSETS INC. FUND;21.96
BROOKFIELD RENEWABLE;44.47
BROOKFIELD RENEWABLE PARTNERS L.P.;40.35
BROWN & BROWN INC.;57.96
BROWN FORMAN INC CLASS A;66.65
BROWN FORMAN INC CLASS B;69.95
BRT APARTMENTS;18.55
BRUNSWICK CORP.;103.06
BUCKLE INC. THE;39.27
BUENAVENTURA MINING CO.;7.28
BUILD-A-BEAR WORKSHOP INC.;18.64
BUILDERS FIRSTSOURCE INC.;51.63
BUNGE LTD.;75.54
BURFORD CAPITAL LTD.;11.91
BURLINGTON STORES INC.;314.49
BUTTERFLY NETWORK INC. CLASS A;11.91
BWX TECHNOLOGIES INC.;57.83
BYLINE BANCORP INC.;25.34
C3.AI INC. CLASS A;49.58
CABLE ONE INC.;2030.02
CABOT CORP.;53.31
CABOT OIL & GAS;14.75
CACI INTL.;256.15
CACTUS INC. CLASS A;36.35
CADENCE BANCORP.;20.75
CAE INC.;27.68
CAI INTERNATIONAL INC.;55.93
CALERES INC.;23.43
CALIFORNIA RESOURCES;30.50
CALIFORNIA WATER SERVICE GROUP;62.85
CALIX INC;46.83
CALLAWAY GOLF CO.;28.49
CALLON PETROLEUM CO.;31.62
CAMDEN PROPERTY TRUST;144.88
CAMECO CORP.;17.11
CAMPBELL SOUP CO.;40.72
CAMPING WORLD HLD.;38.67
CANADA GOOSE HLD.;38.77
CANADIAN IMPERIAL BANK OF COMMERCE;118.64
CANADIAN NATIONAL RAILWAY CO.;108.72
CANADIAN NATURAL RESOURCES;32.03
CANADIAN PACIFIC RAILWAY;71.18
CANGO INC. ADS;4.02
CANNAE HOLDINGS INC.;31.24
CANO HEALTH INC. CLASS A;11.89
CANON INC. ADS;23.52
CAPITAL ONE FINANCIAL;172.13
CAPITAL SENIOR LIVING;34.84
CAPITOL INVESTMENT;1.04
CAPRI HOLDINGS LTD.;57.27
CAPRI LISTCO CLASS A;8.70
CAPSTEAD MORTGAGE;6.83
CARDINAL HEALTH INC.;51.09
CARLISLE COMPANIES INC.;211.92
CARMAX INC;126.57
CARNIVAL CORP.;23.61
CARNIVAL PLC ADS ADS;21.63
CARPENTER TECHNOLOGY;33.27
CARRIAGE SERVICES INC.;44.44
